"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Mean","Poor","Poor","Good","Good","Good","Good","Good","Good","Poor","Poor","Poor","Good"
"SD","Poor","Poor","Good","Good","Good","Good","Good","Good","Poor","Poor","Poor","Good"
"Skew","Poor","Poor","Good","Good","Good","Good","Good","Good","Poor","Poor","Poor","Good"
"Mean","Poor","Poor","Good","Good","Good","Good","Good","Good","Poor","Poor","Poor","Good"
"SD","Poor","Poor","Fair","Fair","Good","Fair","Good","Fair","Poor","Poor","Poor","Good"
"5th","Poor","Poor","Good","Good","Good","Poor","Good","Fair","Poor","Poor","Poor","Fair"
"95th","Poor","Poor","Good","Good","Good","Good","Good","Good","Good","Fair","Poor","Good"
"MeanWetDay","Poor","Poor","Good","Good","Good","Good","Good","Good","Poor","Poor","Poor","Good"
"SDWetDay","Poor","Poor","Good","Good","Good","Poor","Good","Poor","Poor","Poor","Good","Good"
"Mean3DayTotal","Poor","Poor","Good","Good","Good","Good","Good","Good","Poor","Poor","Poor","Good"
"Mean5DayTotal","Poor","Poor","Good","Good","Good","Good","Good","Good","Poor","Poor","Poor","Good"
