"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Mean","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SD","Fair","Good","Good","Good","Good","Good","Good","Good","Fair","Fair","Good","Good"
"Skew","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"Mean","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SD","Poor","Poor","Poor","Good","Fair","Good","Good","Good","Good","Good","Fair","Fair"
"5th","Good","Poor","Good","Good","Good","Poor","Poor","Poor","Poor","Poor","Good","Good"
"95th","Fair","Fair","Fair","Fair","Fair","Good","Good","Good","Good","Good","Good","Good"
"MeanWetDay","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"SDWetDay","Poor","Poor","Fair","Fair","Fair","Fair","Good","Good","Poor","Poor","Poor","Poor"
"Mean3DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"Mean5DayTotal","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
